id_venda;cod_cliente;cod_produto;cod_marca;Ano_venda;Mês_venda;Dia_venda;dtc_venda;qtd_venda;val_venda;num_nota;Des_Cliente;nom_produto;des_marca
38;1;3;1;2015.0;3.0;19.0;19/03/2015;1.0;342.09;155.0;JOÃO DO PULO;TECLADO;APPLE
77;1;3;1;2015.0;9.0;16.0;16/09/2015;3.0;342.09;829.0;JOÃO DO PULO;TECLADO;APPLE
231;1;3;1;2015.0;11.0;4.0;04/11/2015;3.0;342.09;1483.0;JOÃO DO PULO;TECLADO;APPLE
342;1;3;1;2015.0;11.0;11.0;11/11/2015;2.0;342.09;984.0;JOÃO DO PULO;TECLADO;APPLE
402;1;3;1;2015.0;5.0;13.0;13/05/2015;1.0;342.09;341.0;JOÃO DO PULO;TECLADO;APPLE
455;1;3;1;2015.0;9.0;18.0;18/09/2015;2.0;342.09;344.0;JOÃO DO PULO;TECLADO;APPLE
697;1;3;1;2015.0;3.0;8.0;08/03/2015;2.0;342.09;902.0;JOÃO DO PULO;TECLADO;APPLE
782;1;3;1;2014.0;8.0;21.0;21/08/2014;1.0;342.09;684.0;JOÃO DO PULO;TECLADO;APPLE
904;1;3;1;2014.0;10.0;5.0;05/10/2014;2.0;342.09;560.0;JOÃO DO PULO;TECLADO;APPLE
1008;1;3;1;2014.0;6.0;26.0;26/06/2014;2.0;342.09;829.0;JOÃO DO PULO;TECLADO;APPLE
1213;1;3;1;2014.0;3.0;16.0;16/03/2014;2.0;342.09;843.0;JOÃO DO PULO;TECLADO;APPLE
1403;1;3;1;2014.0;5.0;19.0;19/05/2014;2.0;342.09;620.0;JOÃO DO PULO;TECLADO;APPLE
1495;1;3;1;2014.0;3.0;13.0;13/03/2014;2.0;342.09;1337.0;JOÃO DO PULO;TECLADO;APPLE
1512;1;3;1;2015.0;10.0;5.0;05/10/2015;3.0;342.09;1345.0;JOÃO DO PULO;TECLADO;APPLE
1658;1;3;1;2015.0;7.0;3.0;03/07/2015;2.0;342.09;420.0;JOÃO DO PULO;TECLADO;APPLE
